Start training
episode_232 : 97.0
episode_233 : 30.0
episode_234 : 155.0
episode_235 : 155.0
episode_236 : 60.0
episode_237 : 130.0
episode_238 : 179.0
episode_239 : 108.0
episode_240 : 119.0
running reward: 139.70 at episode 240, state count 23168
episode_241 : 118.0
episode_242 : 85.0
episode_243 : 104.0
episode_244 : 113.0
episode_245 : 158.0
episode_246 : 80.0
episode_247 : 85.0
episode_248 : 124.0
episode_249 : 132.0
episode_250 : 18.0
episode_251 : 144.0
episode_252 : 116.0
episode_253 : 113.0
episode_254 : 125.0
episode_255 : 88.0
episode_256 : 32.0
episode_257 : 136.0
episode_258 : 130.0
episode_259 : 105.0
episode_260 : 128.0
running reward: 137.88 at episode 260, state count 25302
episode_261 : 139.0
episode_262 : 101.0
episode_263 : 97.0
episode_264 : 51.0
episode_265 : 118.0
episode_266 : 209.0
episode_267 : 139.0
episode_268 : 84.0
episode_269 : 131.0
episode_270 : 148.0
episode_271 : 134.0
episode_272 : 134.0
episode_273 : 117.0
episode_274 : 113.0
episode_275 : 69.0
episode_276 : 68.0
episode_277 : 87.0
episode_278 : 117.0
episode_279 : 80.0
episode_280 : 29.0
running reward: 124.71 at episode 280, state count 27467
episode_281 : 28.0
episode_282 : 37.0
episode_283 : 60.0
episode_284 : 82.0
episode_285 : 340.0
episode_286 : 136.0
episode_287 : 56.0
episode_288 : 70.0
episode_289 : 151.0
episode_290 : 27.0
episode_291 : 124.0
episode_292 : 66.0
episode_293 : 85.0
episode_294 : 52.0
episode_295 : 106.0
episode_296 : 187.0
episode_297 : 20.0
episode_298 : 29.0
episode_299 : 112.0
episode_300 : 63.0
running reward: 115.55 at episode 300, state count 29298
epsilon = 0.1 , state_count = 29298 , episode_count = 0
