Start training
episode_0 : 11.0
running reward: 11.00 at episode 0, state count 11
epsilon = 0.9967000000000004 , state_count = 11 , episode_count = 0
episode_1 : 15.0
episode_2 : 11.0
episode_3 : 12.0
episode_4 : 34.0
episode_5 : 28.0
episode_6 : 18.0
episode_7 : 41.0
episode_8 : 24.0
episode_9 : 30.0
episode_10 : 49.0
episode_11 : 14.0
episode_12 : 10.0
episode_13 : 13.0
episode_14 : 11.0
episode_15 : 18.0
episode_16 : 20.0
episode_17 : 21.0
episode_18 : 13.0
episode_19 : 12.0
episode_20 : 25.0
running reward: 20.48 at episode 20, state count 430
episode_21 : 69.0
episode_22 : 14.0
episode_23 : 25.0
episode_24 : 26.0
episode_25 : 16.0
episode_26 : 15.0
episode_27 : 18.0
episode_28 : 38.0
episode_29 : 11.0
episode_30 : 25.0
episode_31 : 9.0
episode_32 : 21.0
episode_33 : 11.0
episode_34 : 40.0
episode_35 : 10.0
episode_36 : 47.0
episode_37 : 11.0
episode_38 : 19.0
episode_39 : 12.0
episode_40 : 14.0
running reward: 21.49 at episode 40, state count 881
episode_41 : 32.0
episode_42 : 27.0
episode_43 : 11.0
episode_44 : 36.0
episode_45 : 14.0
episode_46 : 11.0
episode_47 : 17.0
episode_48 : 49.0
episode_49 : 12.0
episode_50 : 10.0
episode_51 : 13.0
episode_52 : 14.0
episode_53 : 15.0
episode_54 : 20.0
episode_55 : 18.0
episode_56 : 27.0
episode_57 : 11.0
episode_58 : 11.0
episode_59 : 15.0
episode_60 : 12.0
running reward: 20.59 at episode 60, state count 1256
episode_61 : 68.0
episode_62 : 48.0
episode_63 : 25.0
episode_64 : 88.0
episode_65 : 10.0
episode_66 : 12.0
episode_67 : 12.0
episode_68 : 87.0
episode_69 : 31.0
episode_70 : 42.0
episode_71 : 74.0
episode_72 : 27.0
episode_73 : 27.0
episode_74 : 68.0
episode_75 : 13.0
episode_76 : 19.0
episode_77 : 12.0
episode_78 : 15.0
episode_79 : 79.0
episode_80 : 16.0
running reward: 25.05 at episode 80, state count 2029
episode_81 : 41.0
episode_82 : 58.0
episode_83 : 29.0
episode_84 : 115.0
episode_85 : 131.0
episode_86 : 33.0
episode_87 : 35.0
episode_88 : 161.0
episode_89 : 59.0
episode_90 : 98.0
episode_91 : 83.0
episode_92 : 141.0
episode_93 : 157.0
episode_94 : 120.0
episode_95 : 190.0
episode_96 : 97.0
episode_97 : 154.0
episode_98 : 95.0
episode_99 : 99.0
episode_100 : 133.0
running reward: 40.47 at episode 100, state count 4058
episode_101 : 25.0
episode_102 : 185.0
episode_103 : 192.0
episode_104 : 150.0
episode_105 : 107.0
episode_106 : 126.0
episode_107 : 38.0
episode_108 : 127.0
episode_109 : 149.0
episode_110 : 151.0
episode_111 : 152.0
episode_112 : 98.0
episode_113 : 107.0
episode_114 : 140.0
episode_115 : 186.0
episode_116 : 152.0
episode_117 : 138.0
episode_118 : 39.0
episode_119 : 80.0
episode_120 : 131.0
running reward: 61.01 at episode 120, state count 6531
episode_121 : 172.0
episode_122 : 239.0
episode_123 : 207.0
episode_124 : 150.0
episode_125 : 101.0
episode_126 : 209.0
episode_127 : 85.0
episode_128 : 139.0
episode_129 : 19.0
episode_130 : 181.0
episode_131 : 136.0
episode_132 : 99.0
episode_133 : 45.0
episode_134 : 146.0
episode_135 : 158.0
episode_136 : 143.0
episode_137 : 115.0
episode_138 : 123.0
episode_139 : 157.0
episode_140 : 43.0
running reward: 83.17 at episode 140, state count 9198
episode_141 : 210.0
episode_142 : 278.0
episode_143 : 244.0
episode_144 : 36.0
episode_145 : 148.0
episode_146 : 119.0
episode_147 : 43.0
episode_148 : 245.0
episode_149 : 232.0
episode_150 : 60.0
epsilon = 0.1 , state_count = 10813 , episode_count = 0
episode_151 : 11.0
episode_152 : 212.0
episode_153 : 44.0
episode_154 : 142.0
episode_155 : 34.0
episode_156 : 63.0
episode_157 : 115.0
episode_158 : 17.0
episode_159 : 42.0
episode_160 : 21.0
running reward: 102.58 at episode 160, state count 11514
episode_161 : 17.0
episode_162 : 135.0
episode_163 : 28.0
episode_164 : 224.0
episode_165 : 212.0
episode_166 : 224.0
episode_167 : 183.0
episode_168 : 239.0
episode_169 : 128.0
episode_170 : 259.0
episode_171 : 238.0
episode_172 : 196.0
episode_173 : 125.0
episode_174 : 129.0
episode_175 : 241.0
episode_176 : 167.0
episode_177 : 265.0
episode_178 : 212.0
episode_179 : 39.0
episode_180 : 221.0
running reward: 129.67 at episode 180, state count 14996
episode_181 : 243.0
episode_182 : 250.0
episode_183 : 139.0
episode_184 : 145.0
episode_185 : 195.0
episode_186 : 153.0
episode_187 : 126.0
episode_188 : 101.0
episode_189 : 125.0
episode_190 : 111.0
episode_191 : 145.0
episode_192 : 122.0
episode_193 : 111.0
episode_194 : 156.0
episode_195 : 146.0
episode_196 : 37.0
episode_197 : 111.0
episode_198 : 138.0
episode_199 : 92.0
episode_200 : 101.0
running reward: 136.85 at episode 200, state count 17743
episode_201 : 161.0
episode_202 : 163.0
episode_203 : 164.0
episode_204 : 134.0
episode_205 : 137.0
episode_206 : 130.0
episode_207 : 114.0
episode_208 : 132.0
episode_209 : 164.0
episode_210 : 165.0
episode_211 : 88.0
episode_212 : 181.0
episode_213 : 198.0
episode_214 : 190.0
episode_215 : 111.0
episode_216 : 200.0
episode_217 : 169.0
episode_218 : 330.0
episode_219 : 111.0
episode_220 : 27.0
running reward: 142.81 at episode 220, state count 20812
episode_221 : 90.0
episode_222 : 159.0
episode_223 : 101.0
episode_224 : 63.0
episode_225 : 115.0
episode_226 : 114.0
episode_227 : 144.0
episode_228 : 126.0
episode_229 : 129.0
episode_230 : 153.0
episode_231 : 129.0
