Start training
episode_503 : 150.00000000000014
episode_504 : 274.5999999999991
episode_505 : 164.00000000000006
episode_506 : 263.99999999999926
episode_507 : 292.1999999999992
episode_508 : 238.79999999999967
episode_509 : 184.4000000000001
episode_510 : 139.60000000000016
episode_511 : 208.99999999999972
episode_512 : 25.399999999999995
episode_513 : 187.99999999999997
episode_514 : 347.7999999999984
episode_515 : 231.9999999999997
episode_516 : 607.799999999998
episode_517 : 170.8000000000001
episode_518 : 352.39999999999816
episode_519 : 154.2
episode_520 : 233.99999999999932
running reward: 125.02 at episode 520, state count 53435
episode_521 : 280.1999999999988
episode_522 : 380.9999999999983
episode_523 : 240.39999999999912
episode_524 : 234.39999999999964
episode_525 : 170.9999999999999
episode_526 : 293.19999999999914
episode_527 : 378.7999999999981
episode_528 : 265.3999999999991
episode_529 : 255.9999999999993
episode_530 : 190.99999999999974
episode_531 : 375.79999999999825
episode_532 : 204.39999999999955
episode_533 : 30.0
episode_534 : 38.8
episode_535 : 189.59999999999982
episode_536 : 338.1999999999983
episode_537 : 368.9999999999982
episode_538 : 260.7999999999994
episode_539 : 500.1999999999972
episode_540 : 351.79999999999814
running reward: 168.16 at episode 540, state count 58007
episode_541 : 435.3999999999979
episode_542 : 203.3999999999997
episode_543 : 389.1999999999979
episode_544 : 350.3999999999983
episode_545 : 356.1999999999981
episode_546 : 522.199999999997
episode_547 : 395.1999999999978
episode_548 : 297.19999999999874
episode_549 : 374.999999999998
episode_550 : 224.59999999999962
epsilon = 0.1 , state_count = 61009 , episode_count = 301
episode_551 : 264.7999999999991
episode_552 : 401.39999999999793
episode_553 : 208.99999999999955
episode_554 : 234.39999999999944
episode_555 : 249.5999999999993
episode_556 : 561.399999999999
episode_557 : 258.3999999999993
episode_558 : 233.59999999999954
episode_559 : 418.7999999999975
episode_560 : 215.39999999999958
running reward: 220.89 at episode 560, state count 63619
episode_561 : 13.0
episode_562 : 680.2000000000031
episode_563 : 256.3999999999991
episode_564 : 360.59999999999803
episode_565 : 394.1999999999978
episode_566 : 505.7999999999971
episode_567 : 213.9999999999995
episode_568 : 275.9999999999994
episode_569 : 307.79999999999876
episode_570 : 541.5999999999977
episode_571 : 677.2000000000029
episode_572 : 462.9999999999972
episode_573 : 299.99999999999875
episode_574 : 298.99999999999926
episode_575 : 193.1999999999996
episode_576 : 286.9999999999987
episode_577 : 187.79999999999987
episode_578 : 654.6000000000016
episode_579 : 454.7999999999977
episode_580 : 264.79999999999893
running reward: 274.31 at episode 580, state count 69832
episode_581 : 253.59999999999903
episode_582 : 354.59999999999815
episode_583 : 400.1999999999977
episode_584 : 604.2000000000002
episode_585 : 453.79999999999774
episode_586 : 406.399999999998
episode_587 : 314.79999999999876
episode_588 : 69.00000000000006
episode_589 : 241.9999999999995
episode_590 : 287.9999999999987
episode_591 : 228.99999999999935
episode_592 : 323.39999999999833
episode_593 : 237.3999999999994
episode_594 : 251.5999999999991
episode_595 : 519.599999999997
episode_596 : 587.1999999999996
episode_597 : 343.19999999999874
episode_598 : 395.99999999999767
episode_599 : 342.3999999999983
episode_600 : 440.19999999999766
running reward: 308.38 at episode 600, state count 75826
epsilon = 0.1 , state_count = 75826 , episode_count = 301
